province,type,scenario,year,value,unit
all,Total,reference,2005,411.67,Thousand cubic metres
AB,Total,reference,2005,282.21,Thousand cubic metres
BC,Total,reference,2005,6.63,Thousand cubic metres
MB,Total,reference,2005,2.21,Thousand cubic metres
NB,Total,reference,2005,0,Thousand cubic metres
NL,Total,reference,2005,48.47,Thousand cubic metres
NS,Total,reference,2005,2.05,Thousand cubic metres
NT,Total,reference,2005,2.99,Thousand cubic metres
NU,Total,reference,2005,0,Thousand cubic metres
ON,Total,reference,2005,0.38,Thousand cubic metres
PE,Total,reference,2005,0,Thousand cubic metres
QC,Total,reference,2005,0,Thousand cubic metres
SK,Total,reference,2005,66.73,Thousand cubic metres
YT,Total,reference,2005,0,Thousand cubic metres
all,Total,reference,2006,440.16,Thousand cubic metres
AB,Total,reference,2006,308.9,Thousand cubic metres
BC,Total,reference,2006,6.56,Thousand cubic metres
MB,Total,reference,2006,3.02,Thousand cubic metres
NB,Total,reference,2006,0,Thousand cubic metres
NL,Total,reference,2006,48.28,Thousand cubic metres
NS,Total,reference,2006,1.91,Thousand cubic metres
NT,Total,reference,2006,2.97,Thousand cubic metres
NU,Total,reference,2006,0,Thousand cubic metres
ON,Total,reference,2006,0.34,Thousand cubic metres
PE,Total,reference,2006,0,Thousand cubic metres
QC,Total,reference,2006,0,Thousand cubic metres
SK,Total,reference,2006,68.18,Thousand cubic metres
YT,Total,reference,2006,0,Thousand cubic metres
all,Total,reference,2007,457.83,Thousand cubic metres
AB,Total,reference,2007,316.65,Thousand cubic metres
BC,Total,reference,2007,6,Thousand cubic metres
MB,Total,reference,2007,3.53,Thousand cubic metres
NB,Total,reference,2007,0,Thousand cubic metres
NL,Total,reference,2007,58.58,Thousand cubic metres
NS,Total,reference,2007,1.89,Thousand cubic metres
NT,Total,reference,2007,2.79,Thousand cubic metres
NU,Total,reference,2007,0,Thousand cubic metres
ON,Total,reference,2007,0.3,Thousand cubic metres
PE,Total,reference,2007,0,Thousand cubic metres
QC,Total,reference,2007,0,Thousand cubic metres
SK,Total,reference,2007,68.09,Thousand cubic metres
YT,Total,reference,2007,0,Thousand cubic metres
all,Total,reference,2008,448.23,Thousand cubic metres
AB,Total,reference,2008,309.78,Thousand cubic metres
BC,Total,reference,2008,5.57,Thousand cubic metres
MB,Total,reference,2008,3.74,Thousand cubic metres
NB,Total,reference,2008,0,Thousand cubic metres
NL,Total,reference,2008,54.55,Thousand cubic metres
NS,Total,reference,2008,1.75,Thousand cubic metres
NT,Total,reference,2008,2.58,Thousand cubic metres
NU,Total,reference,2008,0,Thousand cubic metres
ON,Total,reference,2008,0.27,Thousand cubic metres
PE,Total,reference,2008,0,Thousand cubic metres
QC,Total,reference,2008,0,Thousand cubic metres
SK,Total,reference,2008,69.99,Thousand cubic metres
YT,Total,reference,2008,0,Thousand cubic metres
all,Total,reference,2009,454.62,Thousand cubic metres
AB,Total,reference,2009,331.02,Thousand cubic metres
BC,Total,reference,2009,5.48,Thousand cubic metres
MB,Total,reference,2009,4.08,Thousand cubic metres
NB,Total,reference,2009,0,Thousand cubic metres
NL,Total,reference,2009,42.55,Thousand cubic metres
NS,Total,reference,2009,1.13,Thousand cubic metres
NT,Total,reference,2009,2.47,Thousand cubic metres
NU,Total,reference,2009,0,Thousand cubic metres
ON,Total,reference,2009,0.25,Thousand cubic metres
PE,Total,reference,2009,0,Thousand cubic metres
QC,Total,reference,2009,0,Thousand cubic metres
SK,Total,reference,2009,67.64,Thousand cubic metres
YT,Total,reference,2009,0,Thousand cubic metres
all,Total,reference,2010,474.3226437,Thousand cubic metres
AB,Total,reference,2010,349.0785779,Thousand cubic metres
BC,Total,reference,2010,5.674912858,Thousand cubic metres
MB,Total,reference,2010,4.763684668,Thousand cubic metres
NB,Total,reference,2010,0,Thousand cubic metres
NL,Total,reference,2010,43.85,Thousand cubic metres
NS,Total,reference,2010,1.07,Thousand cubic metres
NT,Total,reference,2010,2.39,Thousand cubic metres
NU,Total,reference,2010,0,Thousand cubic metres
ON,Total,reference,2010,0.24,Thousand cubic metres
PE,Total,reference,2010,0,Thousand cubic metres
QC,Total,reference,2010,0,Thousand cubic metres
SK,Total,reference,2010,67.25546824,Thousand cubic metres
YT,Total,reference,2010,0,Thousand cubic metres
all,Total,reference,2011,499.4526066,Thousand cubic metres
AB,Total,reference,2011,374.1556089,Thousand cubic metres
BC,Total,reference,2011,5.897543021,Thousand cubic metres
MB,Total,reference,2011,6.462271509,Thousand cubic metres
NB,Total,reference,2011,0,Thousand cubic metres
NL,Total,reference,2011,42.14,Thousand cubic metres
NS,Total,reference,2011,0.86,Thousand cubic metres
NT,Total,reference,2011,1.67,Thousand cubic metres
NU,Total,reference,2011,0,Thousand cubic metres
ON,Total,reference,2011,0.22,Thousand cubic metres
PE,Total,reference,2011,0,Thousand cubic metres
QC,Total,reference,2011,0,Thousand cubic metres
SK,Total,reference,2011,68.04718317,Thousand cubic metres
YT,Total,reference,2011,0,Thousand cubic metres
all,Total,reference,2012,536.7613817,Thousand cubic metres
AB,Total,reference,2012,413.3323738,Thousand cubic metres
BC,Total,reference,2012,6.267753977,Thousand cubic metres
MB,Total,reference,2012,8.12125,Thousand cubic metres
NB,Total,reference,2012,0,Thousand cubic metres
NL,Total,reference,2012,31.43,Thousand cubic metres
NS,Total,reference,2012,0.58,Thousand cubic metres
NT,Total,reference,2012,2.07,Thousand cubic metres
NU,Total,reference,2012,0,Thousand cubic metres
ON,Total,reference,2012,0.22,Thousand cubic metres
PE,Total,reference,2012,0,Thousand cubic metres
QC,Total,reference,2012,0,Thousand cubic metres
SK,Total,reference,2012,74.74000399,Thousand cubic metres
YT,Total,reference,2012,0,Thousand cubic metres
all,Total,reference,2013,575.568522,Thousand cubic metres
AB,Total,reference,2013,444.3140834,Thousand cubic metres
BC,Total,reference,2013,6.543667602,Thousand cubic metres
MB,Total,reference,2013,8.262839864,Thousand cubic metres
NB,Total,reference,2013,0,Thousand cubic metres
NL,Total,reference,2013,36.87,Thousand cubic metres
NS,Total,reference,2013,0.33,Thousand cubic metres
NT,Total,reference,2013,1.96,Thousand cubic metres
NU,Total,reference,2013,0,Thousand cubic metres
ON,Total,reference,2013,0.2,Thousand cubic metres
PE,Total,reference,2013,0,Thousand cubic metres
QC,Total,reference,2013,0,Thousand cubic metres
SK,Total,reference,2013,77.08793113,Thousand cubic metres
YT,Total,reference,2013,0,Thousand cubic metres
all,Total,reference,2014,605.5595364,Thousand cubic metres
AB,Total,reference,2014,472.1040165,Thousand cubic metres
BC,Total,reference,2014,7.852646205,Thousand cubic metres
MB,Total,reference,2014,7.306313497,Thousand cubic metres
NB,Total,reference,2014,0,Thousand cubic metres
NL,Total,reference,2014,34.34,Thousand cubic metres
